Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
120,353,86764,245.790368272,22.413846551,129.555613812,128.838526912,73.096299806,22.047069595,12.115997195,88.435314381,0.625283172,0.814008647,25.222858488,340.997167139,293.297450425,85.562286514,14.282013338,31028.379603399,129.985835694,0.033548194,-0.413774512
121,358,89593,250.259776536,23.144665461,130.382886151,128.301675978,73.64424734,22.302810325,12.183308198,84.548898622,0.628448773,0.817653801,25.344070154,341.879888268,290.80726257,86.055823579,14.376810214,31811.804469274,130.762569832,0.068489394,-0.375484054
122,357,88577,248.114845938,22.882200982,129.100834908,128.296918768,73.172526124,22.431202707,12.237873346,87.361842455,0.624307585,0.816843942,25.490203454,340.00280112,291.610644258,87.794030643,14.443076046,31299.386554622,129.50140056,0.05256135,-0.387432991
123,355,89387,251.794366197,23.091449238,129.034362363,128.188732394,74.218857859,22.417691916,12.309829629,86.341645129,0.625327685,0.818732218,25.588559922,344.349295775,292.602816901,86.494880911,14.443197769,31768.118309859,129.478873239,0.067578594,-0.366580056
124,352,86854,246.744318182,22.437096358,129.03368835,128.039772727,73.231572796,22.316929848,12.154459529,80.508265828,0.626738045,0.817183007,25.477938831,340.928977273,295.034090909,85.201816748,14.276333959,31165.971590909,129.261363636,0.092960998,-0.346854535
125,364,88673,243.607142857,22.907000775,129.831278539,127.980769231,71.96523124,22.171922073,12.034838297,82.204849734,0.631347934,0.817461536,25.252218681,345.324175824,293.901098901,84.438540871,14.251352918,30829.071428571,130.340659341,0.061548732,-0.397511295
126,362,87946,242.944751381,22.719194007,129.411115088,128.629834254,71.621970382,22.13932361,12.078004432,80.895017397,0.633010346,0.821791947,25.301848537,337.732044199,297.361878453,84.371111786,14.184609387,30743.209944751,129.828729282,0.069877077,-0.373194564
127,362,90861,250.997237569,23.472229398,130.082203417,128.70718232,72.915334902,22.249544847,12.257579612,83.177585733,0.625265372,0.817398712,25.428311559,346.408839779,297.461325967,86.321773295,14.435986798,31992.856353591,130.522099448,0.047777797,-0.415324165
128,361,89244,247.213296399,23.054507879,129.392501704,127.991689751,72.289075904,22.161220934,12.159582135,85.305393691,0.63609023,0.823295444,25.22626686,345.108033241,296.623268698,88.817892136,14.252096228,31265.847645429,129.783933518,0.044605776,-0.395719396
129,364,88937,244.332417582,22.975200207,128.973306824,128.217032967,72.425913931,22.268724783,12.070856954,85.946272173,0.631763663,0.821357377,25.352557733,347.288461538,288.895604396,86.933451607,14.186352352,30808.763736264,129.384615385,0.061436201,-0.384637201
130,365,91380,250.356164384,23.606303281,129.895819364,128.605479452,73.643493634,22.642505707,12.077130484,84.375911896,0.622671248,0.815966925,25.712545604,348.569863014,291.405479452,86.127624926,14.298620449,31759.501369863,130.238356164,0.085233338,-0.398513193
131,367,92059,250.841961853,23.781710152,129.770221679,128.25613079,73.54620156,22.546246299,12.236579033,86.726932874,0.621815386,0.817247954,25.696002004,341.163487738,290.040871935,83.487995376,14.476645702,31752.929155313,130.144414169,0.058010203,-0.403707744
132,369,92109,249.617886179,23.794626711,129.454168676,127.853658537,73.330816145,22.480400667,12.187099481,84.853651382,0.626672581,0.822947686,25.537574994,348.883468835,293.181571816,86.931411279,14.359519977,31553.300813008,129.932249322,0.052534287,-0.397854668
133,364,90986,249.961538462,23.504520796,129.339836749,128.260989011,74.11749942,22.557095639,12.186391917,87.218088823,0.622864568,0.818046359,25.764648656,347.777472527,286.604395604,89.525540239,14.469246537,31567.18956044,129.760989011,0.078006567,-0.344694946
134,361,91182,252.581717452,23.555153707,129.064614145,128.626038781,74.137486527,22.555595176,12.395918234,88.215007799,0.618414489,0.815022415,25.772073135,347.944598338,288.279778393,88.032274285,14.659478427,31938.504155125,129.576177285,0.038738625,-0.409467505
135,354,89544,252.949152542,23.132007233,129.272499968,127.367231638,74.633864319,22.700557769,12.289371269,85.128234012,0.623215289,0.817266306,25.876928915,348.52259887,287.65819209,86.814244705,14.538782607,31984.398305085,129.629943503,0.064067362,-0.362247529
136,364,90471,248.546703297,23.371480238,129.255413789,128.098901099,73.156978641,22.450515281,12.298534915,82.816139593,0.628002098,0.818045787,25.625902822,348.214285714,289.458791209,83.689886808,14.542977889,31478.568681319,129.634615385,0.030396611,-0.356640385
137,367,90919,247.735694823,23.487212607,129.608480802,128.376021798,72.63961363,22.144661664,12.205683147,79.605907973,0.639740884,0.822310875,25.327159735,348.051771117,288.934604905,82.562118207,14.386843553,31375.632152589,130.008174387,0.045998241,-0.371636862
138,363,88780,244.573002755,22.934642211,130.022260471,128.327823691,72.432968473,22.319819697,12.011647864,85.859210146,0.624456227,0.817766634,25.395329559,349.67768595,286.680440771,85.500825487,14.161787098,30949.358126722,130.272727273,0.060356597,-0.394466116
139,366,89609,244.833333333,23.14879876,129.032745174,127.532786885,72.566023402,22.284004167,12.252979593,85.601215124,0.624825469,0.820556503,25.444198521,346.338797814,290.456284153,85.390111582,14.39446939,30880.043715847,129.56557377,0.034317794,-0.392809472
140,376,90287,240.125,23.3239473,130.192120816,129.468085106,71.390279978,22.06637435,12.01199202,84.264174889,0.62515419,0.817654559,25.204707848,345.462765957,286.32712766,84.360514051,14.139171974,30518.175531915,130.611702128,0.041590641,-0.376446945
141,379,89354,235.762532982,23.082924309,129.400323772,127.854881266,69.531457483,21.758838031,11.930845667,81.745191447,0.638572785,0.823515153,24.653694358,356.678100264,284.34828496,81.044283368,13.981909748,29754.226912929,129.899736148,0.038785397,-0.409610711
142,374,90240,241.28342246,23.311805735,129.2626395,128.510695187,71.037218892,21.900017458,12.07376302,86.079996441,0.633436293,0.822777742,24.987791899,355.219251337,282.42513369,85.560807542,14.13414726,30397.136363636,129.737967914,0.051095715,-0.398870528
143,369,91536,248.06504065,23.646602945,129.990326837,129.696476965,73.199194327,22.200419472,12.226436163,84.274192532,0.627958961,0.821580266,25.420930871,355.56097561,288.962059621,84.811768436,14.350583512,31496.93495935,130.525745257,0.023853031,-0.432277706
144,366,91529,250.079234973,23.644794627,130.064312836,128.830601093,73.520044035,22.347557248,12.260672036,86.29604794,0.627165854,0.819695445,25.517437418,350.606557377,280.857923497,85.846436589,14.457791371,31813.289617486,130.5,0.050916342,-0.402571019
145,371,90296,243.385444744,23.326272281,129.933177382,128.797843666,71.613288609,21.983999272,11.978743013,84.219484088,0.621567071,0.815995361,24.995312458,350.698113208,282.091644205,84.589688238,14.123644848,30842.889487871,130.412398922,0.042119298,-0.412177415
146,352,92539,262.894886364,23.905709119,128.981131229,127.917613636,75.623817994,22.869004722,12.534439546,86.541040492,0.631162756,0.823221775,26.062663451,351.042613636,285.451704545,88.220010514,14.69041474,33262.380681818,129.409090909,0.066100858,-0.346181721
147,372,91180,245.107526882,23.554637045,130.528858,128.717741935,71.835904114,22.146974388,12.027003159,85.119192749,0.621282937,0.815132131,25.248501964,349.422043011,280.346774194,89.903447419,14.229543175,31121.591397849,130.870967742,0.084199956,-0.390247412
148,369,92096,249.582655827,23.791268406,130.164498016,128.479674797,72.664900614,22.127751649,12.163926171,87.340916692,0.629396722,0.81763107,25.257101236,348.330623306,283.837398374,88.027829767,14.278266041,31819.74796748,130.382113821,0.079901619,-0.355476285
149,368,93218,253.309782609,24.081115991,130.423600197,128.798913043,73.829563327,22.295987044,12.304000614,86.165676747,0.614006869,0.813017283,25.42458091,348.019021739,281.725543478,87.204166412,14.546565634,32269.002717391,130.576086957,0.108711803,-0.354591556
150,370,92847,250.937837838,23.985275123,130.674071461,128.518918919,73.474046388,22.120149593,12.235559808,84.820942896,0.622795279,0.817019363,25.250061437,342.794594595,283.345945946,86.094977076,14.374225044,32010.221621622,130.678378378,0.142722596,-0.344196148
151,373,92864,248.965147453,23.989666753,129.837477063,128.54155496,72.773261571,22.216490023,12.260908644,84.669830491,0.626693604,0.818618588,25.38753985,343.171581769,285.927613941,84.869109482,14.439235459,31675.378016086,130.179624665,0.053959536,-0.378108657
152,373,93945,251.863270777,24.268922759,130.022146926,128.774798928,73.971408287,22.274649795,12.368053114,86.664929103,0.615416305,0.81422328,25.601972274,347.884718499,283.112600536,86.287805965,14.553849995,31977.557640751,130.469168901,0.045654833,-0.383641058
153,366,92823,253.614754098,23.979075174,129.988860354,128.576502732,74.154512194,22.410115514,12.124303017,85.389774438,0.617886283,0.812695951,25.689550542,345.912568306,286.781420765,86.596473191,14.337371086,32266.43715847,130.327868852,0.085489776,-0.36545534
154,368,93944,255.282608696,24.268664428,130.636800538,128.676630435,74.710017673,22.49036458,12.261863035,82.955106198,0.613394056,0.811613558,25.716506437,342.274456522,284.671195652,86.410582335,14.488373344,32498.472826087,130.929347826,0.079397941,-0.374950634
155,361,94139,260.772853186,24.319039008,130.216630761,128.673130194,75.979645568,22.787886003,12.374801238,83.713753017,0.61573247,0.813782056,26.170341539,337.40166205,281.24099723,85.475451329,14.674043093,33134.185595568,130.628808864,0.047757806,-0.396139523
156,359,93554,260.596100279,24.167915267,130.116223561,128.075208914,75.723524476,23.09950041,12.430850357,82.330597966,0.615638565,0.813785302,26.282699471,343.128133705,279.972144847,83.373768695,14.71304059,33132.493036212,130.401114206,0.083115262,-0.411047768
157,372,91700,246.505376344,23.688969259,130.238911516,128.435483871,72.169415259,22.157172994,12.110523113,84.335517662,0.621438694,0.814971369,25.205290623,338.241935484,278.301075269,83.902960864,14.206492732,31284.559139785,130.580645161,0.065943256,-0.397613679
158,369,90784,246.027100271,23.452337897,129.69709753,128.815718157,71.919186049,22.288525504,12.083835837,85.145549172,0.632722702,0.821341089,25.307120716,339.74796748,276.227642276,84.292643963,14.163333667,31147.810298103,130.173441734,0.039439308,-0.385396157
159,365,91841,251.619178082,23.725393955,129.747252164,128.75890411,73.473221957,22.683458796,12.236224124,85.661910769,0.629230554,0.822268273,25.736840168,340.791780822,274.564383562,84.43559581,14.338039079,31857.361643836,130.068493151,0.047975384,-0.329027731
160,368,89979,244.508152174,23.244381297,130.218010115,128.864130435,71.951208485,22.076501849,12.013754788,85.18247945,0.630347001,0.821559874,25.14705278,339.559782609,278.331521739,83.646438457,14.188859027,30991.779891304,130.54076087,0.071531838,-0.385542799
161,365,90836,248.865753425,23.465771119,129.097849556,127.783561644,73.357004691,22.795698549,12.253400727,84.878956927,0.622312485,0.818352054,25.865380082,335.104109589,282.315068493,84.421351919,14.483605237,31456.306849315,129.654794521,0.025558814,-0.385684333
162,377,90254,239.400530504,23.315422371,129.485229512,128.931034483,71.047180199,22.06206901,11.988394837,87.811428199,0.637110422,0.823267127,25.10738878,341.721485411,282.278514589,87.511695642,14.108595063,30252.453580902,129.885941645,0.059174479,-0.377706738
163,378,92202,243.920634921,23.818651511,130.060142154,128.693121693,71.697459854,22.301626046,12.016174248,86.664684677,0.635846463,0.820722889,25.320747049,347.005291005,280.383597884,86.008755375,14.235435579,30939.164021164,130.354497354,0.079888605,-0.380178881
164,368,88386,240.179347826,22.832859726,129.112360975,127.448369565,71.192523749,22.440011561,12.052416713,85.923252349,0.632749963,0.820154293,25.600626539,346.383152174,283.323369565,85.53613663,14.216320636,30335.258152174,129.448369565,0.074578441,-0.404377206
165,374,89639,239.676470588,23.156548695,129.094941287,128.125668449,70.732202392,21.98443884,12.054409561,86.505007685,0.635914576,0.821724168,24.933081767,339.401069519,273.614973262,86.63036626,14.160858492,30276.601604278,129.540106952,0.066037152,-0.399120748
166,369,90917,246.387533875,23.486695944,129.81769446,128.87804878,72.773301683,22.403300115,12.17634734,85.920263647,0.62449378,0.820678758,25.423699705,342.154471545,280.872628726,86.924210626,14.379575329,31291.474254743,130.379403794,0.036855641,-0.360287348
167,361,88873,246.185595568,22.958667011,129.274702902,128.141274238,73.331501731,22.195135749,12.255235225,87.647626481,0.625881095,0.820376451,25.380634066,338.576177285,281.385041551,89.437609744,14.464951153,31104.074792244,129.695290859,0.038774022,-0.430002527
168,369,89153,241.60704607,23.030999742,128.959971834,128.590785908,71.954243347,21.941487862,12.204676279,84.627562888,0.632742347,0.823833784,24.987830473,338.628726287,284.425474255,86.101672161,14.348625158,30414.550135501,129.474254743,0.040391387,-0.38242385
169,369,88355,239.444444444,22.82485146,129.930558202,128.875338753,71.045036156,21.624381925,12.120187494,84.86758279,0.638616005,0.824362441,24.741626822,343.371273713,285.249322493,85.375745525,14.299443846,30365.574525745,130.333333333,0.059061176,-0.393089602
170,376,88767,236.082446809,22.931283906,129.330356476,128.917553191,69.819184004,21.678016112,12.086769174,86.632491246,0.64272531,0.826825383,24.620468769,345.428191489,284.348404255,88.29865191,14.124043591,29880.638297872,129.824468085,0.047885687,-0.407971244
171,372,90391,242.98655914,23.350813743,129.323022104,127.690860215,72.007379842,22.275546264,12.348184495,85.00235065,0.623408663,0.818415961,25.373534194,347.946236559,284.10483871,87.975207032,14.544818683,30778.185483871,129.629032258,0.05810917,-0.399041846
172,393,88216,224.468193384,22.788943425,129.169637413,128.745547074,67.174707243,21.461597945,11.846216242,85.840364552,0.646315913,0.827322758,24.209893507,346.613231552,282.399491094,86.980718203,13.801705417,28226.562340967,129.569974555,0.062196636,-0.401366348
173,391,89435,228.734015345,23.103849135,129.287306393,129.120204604,68.12496957,21.510257909,11.945125344,84.526128357,0.643048221,0.826025203,24.343945862,344.938618926,283.639386189,85.171232427,13.946405497,28820.89769821,129.851662404,0.038389822,-0.432926548
174,379,87831,231.744063325,22.689485921,129.168994229,128.707124011,68.86708016,21.683145313,12.021837534,85.838240052,0.643974742,0.823701232,24.526098868,338.712401055,288.841688654,87.462796185,14.074932356,29245.17414248,129.773087071,0.023227743,-0.42385511
175,381,87403,229.404199475,22.578920176,128.80156071,127.535433071,68.648379093,21.61713965,11.998735702,86.388141729,0.640249584,0.825346746,24.520459066,340.627296588,287.280839895,87.495724656,14.012923474,28919.244094488,129.419947507,0.021912105,-0.461022726
176,382,88005,230.379581152,22.734435546,129.631825592,129.141361257,68.5614694,21.748098541,11.994065477,86.29719471,0.634696618,0.822141456,24.65969281,337.738219895,286.92408377,86.804643411,14.081523772,29195.730366492,130.235602094,0.044762603,-0.431602575
177,381,90300,237.007874016,23.327305606,130.008741684,129.060367454,69.759412585,21.978647225,11.993004276,84.411912452,0.63942731,0.824570213,24.870791881,334.6167979,288.06824147,84.351184846,14.065860462,30144.144356955,130.658792651,0.029133023,-0.422156179
178,387,89660,231.679586563,23.16197365,129.91154342,129.645994832,68.040984383,21.801961685,11.956085668,85.254163507,0.63837508,0.8234682,24.674180621,339.581395349,283.684754522,84.846544527,13.969294307,29431.397932817,130.475452196,0.035041184,-0.429639815
179,378,89034,235.53968254,23.000258331,129.959651947,128.658730159,69.956396274,22.066197834,12.008126475,86.375353143,0.632621416,0.819657243,25.170967036,336.007936508,291.193121693,85.32311935,14.191540675,29943.492063492,130.502645503,0.0286474,-0.434093438
180,381,91834,241.034120735,23.723585637,129.460020471,127.553805774,70.858718482,22.233083214,12.195802625,86.230519264,0.630431464,0.819827737,25.276137627,340.322834646,288.700787402,84.679928651,14.40425471,30560.146981627,129.98687664,0.011135924,-0.409072542
181,391,89647,229.276214834,23.158615345,129.245987504,127.411764706,68.254752388,21.791009942,11.947064567,83.66415163,0.630001657,0.820491295,24.720566807,340.734015345,290.230179028,84.85902774,14.051727924,29001.439897698,129.762148338,0.009374027,-0.432015349
182,379,90919,239.89182058,23.487212607,130.345807561,130.461741425,70.76548255,22.332582699,12.186324976,85.16138317,0.624653116,0.818445157,25.334411208,342.403693931,290.978891821,82.751633616,14.354138167,30574.530343008,130.807387863,0.034923742,-0.391808449
